imdb_id	title	runtime_mins	primary_genre	directors	writers	casts
9060324	Casa din copac	99	Comedy	nm7427425	nm7427425	nm4974068,nm10157454,nm7817995,nm2265039
9060496	Beyond the Dark Graves	90	Comedy	nm5607513	nm5687221,nm5607513	nm5687221,nm9201222,nm5607513,nm6742609
9061308	Opening the Mind	115	Horror	nm1617216	nm1617216	nm2247259,nm10158025,nm10158024,nm10766819
9061618	Taking the Horse to Eat Jalebis	121	Drama	nm4888717	nm4888717,nm2652295	nm4759993,nm2652295,nm3463658,nm0944834
9062580	Alone	69	Adventure	\N	nm10105082	nm10076705,nm9961032,nm8652775,nm9289717
9063902	Vivir dos veces	101	Comedy	nm0728048	nm7276157	nm0553650,nm2285844,nm8855294,nm0992607
9064020	Réservoir	87	Drama	nm4627140	nm5382503,nm4627140	nm4457654,nm1148534,nm5870727
9064764	Water	100	Horror	nm6753606	nm6753606	nm7637618,nm6753609,nm7648099,nm2672557
9064968	Chimamire sukeban chênsô red: Zenpen - Nero no fukushû	52	Action	nm0971670	nm3851703,nm3887275	nm7510174,nm5620807,nm2210064,nm7170644
9065144	The Tragedy of King Richard the Second	150	Drama	nm5777951	nm0000636	nm0750971,nm1095324,nm5338347,nm3369056,nm0533174,nm0616604,nm0915948
9067182	Rocks	93	Drama	nm0310673	nm9918880,nm6357692	nm10196565,nm10196566,nm10196568,nm10196567
9067644	Carmela's diary	92	Drama	nm3046758	nm3046758	nm11036291,nm6204798,nm11036292,nm9015681
9067848	Eu Sou Brasileiro	85	Drama	nm10162161	nm10162161	nm2319530,nm4037516,nm1876320,nm0818784,nm0646660,nm0609507,nm2326620
9068100	Répertoire des villes disparues	97	Drama	nm1992193	nm1992193,nm10435467	nm2316151,nm0221072,nm1064614,nm3051898
9068514	Perdida	106	Drama	nm1664036	nm6918567,nm1523747	nm0173062,nm5653665,nm3839491,nm4250395
9068542	Guilt	76	Drama	nm5180140	nm5180140	nm6495461,nm4585169,nm8275267,nm1200696,nm6509448,nm3929147,nm10162640,nm10162638
9069548	Perro Bomba	80	Drama	nm9017554	nm9017554	nm2854433,nm9017619,nm0998846,nm0506804
9070230	Perfect 10	84	Drama	nm3239275	nm3239275	nm10163216,nm10163217,nm1156714,nm0038673
9071322	Dark Waters	126	Biography	nm0001331	nm10164264,nm3918350,nm1996352	nm0749263,nm0004266,nm0000209,nm0000597
9073068	After School Lunch Special	68	Comedy	nm10165012	nm10165012	nm10165165,nm10165171,nm10165179,nm10165180
9073574	Bricked	92	Drama	nm4988279	nm4988279,nm3495109	nm3495109,nm0141333,nm5241459,nm2874442
9073860	Dark 72	65	Horror	nm7747145	nm7747145	nm9993069,nm8510978,nm9175364,nm9589000,nm4279256,nm8788402,nm9901322
9074574	Koirat eivät käytä housuja	105	Drama	nm1672969	nm1487375,nm1672969	nm1032916,nm1279980,nm6695690,nm0901346
9074994	La Deuxième	78	Drama	nm6451863	nm6451863	nm1915661,nm10166197,nm6451864,nm6451865
9075008	Effigie - Das Gift und die Stadt	85	Crime	nm10162345	nm10162345,nm10162346,nm4358047	nm0025774,nm1295171,nm0332027,nm0417785
9075446	Clued Up	85	Drama	nm8619287	nm8619287	nm8619287,nm9020485,nm8719948,nm5943252
9075612	Les plus belles années d'une vie	90	Drama	nm0500988	nm0500988,nm4085941,nm0882683	nm0004462,nm0000733,nm0024850,nm0802769
9075778	The Fighting Preacher	100	Comedy	nm0002459	nm0002459	nm0566263,nm5440228,nm10860882,nm0027468
9076378	Agur Etxebeste!	100	Comedy	nm0023070,nm0260738	nm0023070,nm1084844,nm0260738	nm0013741,nm2021082,nm0410118,nm0756016
9077038	Monster	139	Comedy	nm8205919	nm8205921,nm8205919	nm0754184,nm9350574,nm5369429,nm8111864
9077054	Als ich mal Groß war	85	Family	nm1113904,nm1854184	nm1113904,nm1854184	nm2496929,nm2900822,nm0902486
9077528	NTR: Mahanayakudu	128	Biography	nm3758453	nm7339980,nm3758453	nm0049395,nm10578275,nm10573596,nm7896239
9078092	Mónica entre el Cielo y la Tierra	100	Drama	nm6526632	nm6526632	nm10168772,nm10168771,nm3553364,nm0322717,nm1042101,nm0031336,nm0079104,nm0657251,nm1277843
9078936	Vers la bataille	89	Adventure	nm2761497	nm3453577,nm2761497	nm0956026,nm5966578,nm0149348,nm3495330
9078972	¿Conoces a Tomás?	87	Comedy	nm9464437	nm9464437,nm2153699	nm4621970,nm2134806,nm2016633,nm2828782
9078990	Khamiyaza	130	Action	nm10169157	nm10169157	nm10169158,nm5078653,nm3547090,nm8853149
9079080	Je ne rêve que de vous	103	Drama	nm0382327	nm0126898,nm0382327,nm7798603	nm0959113,nm0320762,nm0220183,nm0000528
9080630	Girl/Girl Scene	122	Comedy	nm2717314	nm2717314	nm2717314,nm9654074,nm5191197,nm3048151
9080672	Initials SG	93	Comedy	nm2525426,nm4275547	nm4275547,nm2525426	nm0673391,nm0629855,nm0266723,nm5509403
9081232	Operation Gold Fish	127	Action	nm3894644	nm3894644,nm2493024	nm4925980,nm10170104,nm8528996,nm3809856
9081432	Prince of Legend	91	Action	nm1960087,nm2432984	nm1883488	nm8360284,nm6625335,nm8435773,nm5441790
9081470	Girl With No Mouth	97	Adventure	nm3159880	nm3159880,nm10211910	nm4607440,nm7818144,nm10176158,nm10176159
9081512	The Criminal Man	135	Thriller	nm3961186	nm5874785,nm3961186	nm10170268,nm9116800,nm10193866,nm10193867
9081558	Akik maradtak	83	Drama	nm0879436	nm0611275,nm0879436,nm10170349	nm1492922,nm9236686,nm0619496,nm8608231
9082020	Cold Blood Legacy	91	Action	nm2167460	nm2167460	nm0000606,nm0511264,nm1725848,nm1408543
9082152	Balance, Not Symmetry	87	Drama	nm2199177	nm2199177,nm3985651	nm5637553,nm8458915,nm0225483,nm0989182
9085028	Umakant Pandey Purush Ya	120	Biography	\N	\N	nm10172036,nm10172561,nm10172037,nm10172033,nm10172029,nm10172031
9086910	Home Is Where the Killer Is	87	Thriller	nm2837835	nm0920530	nm0001307,nm0817620,nm0472595,nm0514719
9088882	Londyn & James	124	Action	nm9110144,nm9110145	nm9110144,nm9110145	nm5396332,nm9110145,nm9110144,nm10180401,nm10569559,nm9381514,nm9187669,nm5291599,nm5794253,nm8443371
9089992	Blackboard vs Whiteboard	152	Action	nm4976599	nm10183191	nm8755941,nm9640732,nm0422550,nm10226639
9090170	Checker Tobi und das Geheimnis unseres Planeten	84	Adventure	nm1990779	nm1990779	nm5357417,nm10496927,nm10496924,nm10496925
9090636	Aos Nossos Filhos	107	Drama	nm0210218	nm8493571,nm0210218	nm0673204,nm1027820,nm8493571,nm1472346,nm0206831,nm0513109,nm8493570
9091118	L'Âge d'Or	106	Drama	nm6324819	nm6324819	nm5562062,nm6324819
9091638	Tabu: Mengusik Gerbang Iblis	96	Horror	nm10173816	nm4970554	nm10174507,nm10174506,nm10157806,nm6239828
9091936	Windswept	66	Drama	nm10174559	nm10174564,nm9776652	nm9785259,nm8977906,nm10174562,nm9764009
9093870	The White Line	100	Drama	nm10175758	nm10175758,nm10776316	nm10927909,nm10487884,nm3403987,nm10927910
9095296	Breve Miragem de Sol	98	Drama	nm1167278	nm7855731,nm11031338,nm1167278	nm2218857,nm8152221,nm11031337
9095526	Mon frère	96	Drama	nm5367831	nm5367831,nm5874173,nm5367786,nm2425150,nm5595044	nm7366968,nm9288184,nm0563740,nm0504267
9096148	Roxane	85	Comedy	nm8301352	nm8301352,nm0815761	nm0211956,nm0238475,nm0008506,nm0239870
9097174	Certified Mail	95	Drama	nm3737300	nm3737300	nm0014095,nm7592546
9097694	Vera	93	Mystery	nm7181975	nm7181975	nm5929596,nm2189072,nm6592897,nm0003832,nm0934428
9099242	Dark Harbor	91	Thriller	nm3329156	nm3329156,nm5451206	nm3693887,nm0035395,nm2419247,nm0043855
9099938	Kingudamu	134	Action	nm0766263	nm5068288,nm3648497,nm0766263	nm4081467,nm4877001,nm0619178,nm4388136
9100028	La pequeña Suiza	86	Comedy	nm0812390	nm2400669,nm2700412,nm10482694,nm2087003,nm0812390	nm5706907,nm1884975,nm4201461,nm0209397
9100838	Mother's Little Helpers	99	Comedy	nm1580045	nm0404525,nm1042903,nm1580045,nm2168927,nm2815589	nm1580045,nm2815589,nm2168927,nm1042903
9101178	Autlo	95	Drama	nm8640030	nm8640030	nm10180228,nm11118927,nm7106630,nm10179763
9103622	Ruth the Musical	81	Musical	nm8026614	nm8026614	nm8057128,nm10620503,nm9057339,nm10620483,nm8894738,nm0200679
9104384	American Christmas	80	Comedy	nm2364877	nm2103403,nm5943670,nm7774595	nm0005346,nm0001019,nm0039226,nm2103403
9104664	Gurkha	144	Action	nm6818461	nm6818461	nm6489058,nm1706602,nm8999988,nm1686962
9104710	Dil Diyan Gallan	122	Drama	nm1598332	\N	nm3844346,nm5805004,nm2893592,nm8994723
9105014	Notebook	115	Drama	nm2859182	nm2929815,nm3192510,nm10452832,nm1552261,nm3761254,nm4691847,nm7628278	nm10180702,nm10180701,nm10740383,nm10740384
9105026	L-DK Hitotsu Yane no Shita, (Suki) ga Futatsu	107	Romance	nm2549243	nm2034893	nm9912809,nm4759838,nm4760668,nm8365413,nm5378218
9105628	Dernier amour	98	Drama	nm0415245	nm0064503,nm0142916,nm0415245,nm4142701	nm0512071,nm5237479,nm0000420,nm6228932
